 relname  | relkind | reltuples | relpages 
 t_1_813  | r       |    252651 |     1118
 t_1_814  | r       |    976071 |     4319
 t_1_815  | r       |    282484 |     1250
 t_1_816  | r       |    391307 |     1732
 t_1_817  | r       |    389946 |     1726
 t_1_818  | r       |    397929 |     1761
 t_1_819  | r       |    611673 |     2707
 t_1_820  | r       |    880571 |     3897
 t_1_821  | r       |    315892 |     1398
 t_1_822  | r       |    506753 |     2243
 t_1_823  | r       |    968884 |     4288
 t_1_824  | r       |    878702 |     3889
 t_1_825  | r       |    289560 |     1282
 t_1_826  | r       |    931655 |     4123
 t_1_827  | r       |    686229 |     3037
 t_1_829  | r       |    701755 |     3106
 t_1_830  | r       |    752671 |     3331
 t_1_831  | r       |    753808 |     3336
 t_1_832  | r       |    604496 |     2675
 t_1_834  | r       |    462385 |     2046
 t_1_835  | r       |    906153 |     4010
 t_1_836  | r       |    492100 |     2178
 t_1_837  | r       |    157882 |      699
 t_1_838  | r       |    804025 |     3558
 t_1_839  | r       |    618306 |     2736
 t_1_840  | r       |    921600 |     4078
 t_1_841  | r       |    993190 |     4395
 t_1_842  | r       |    558679 |     2473
 t_1_843  | r       |    766783 |     3393
 t_1_844  | r       |    801727 |     3548
 t_1_845  | r       |    738109 |     3266
 t_1_846  | r       |    287160 |     1271
 t_1_847  | r       |    920154 |     4072
 t_1_848  | r       |    387064 |     1713
 t_1_849  | r       |    930492 |     4118
 t_1_850  | r       |    587183 |     2599
 t_1_852  | r       |    362072 |     1603
 t_1_853  | r       |    736052 |     3257
 t_1_854  | r       |    820825 |     3632
 t_1_856  | r       |    246888 |     1093
 t_1_857  | r       |    574623 |     2543
 t_1_858  | r       |     15170 |       68
 t_1_859  | r       |    181282 |      803
 t_1_860  | r       |    376641 |     1667
 t_1_861  | r       |    639043 |     2828
 t_1_862  | r       |    417621 |     1848
 t_1_863  | r       |    887156 |     3926
 t_1_864  | r       |    126747 |      561
 t_1_865  | r       |    533081 |     2359
 t_1_866  | r       |    276378 |     1223
 t_1_867  | r       |    728377 |     3223
 t_1_868  | r       |    997213 |     4413
 t_1_869  | r       |    210604 |      932
 t_1_870  | r       |    922211 |     4081
 t_1_871  | r       |    859814 |     3805
 t_1_872  | r       |    535432 |     2370
 t_1_874  | r       |    328122 |     1452
 t_1_875  | r       |    624795 |     2765
 t_1_876  | r       |    321204 |     1422
 t_1_877  | r       |     38634 |      171
 t_1_879  | r       |    854286 |     3781
 t_1_880  | r       |    128674 |      570
 t_1_881  | r       |    557432 |     2467
 t_1_882  | r       |    583128 |     2581
 t_1_883  | r       |    951052 |     4209
 t_1_884  | r       |    165193 |      731
 t_1_885  | r       |    813804 |     3601
 t_1_886  | r       |    305594 |     1353
 t_1_887  | r       |    990273 |     4382
 t_1_888  | r       |    559746 |     2477
 t_1_889  | r       |    956104 |     4231
 t_1_890  | r       |    122666 |      543
 t_1_891  | r       |    531903 |     2354
 t_1_892  | r       |    261672 |     1158
 t_1_893  | r       |    421162 |     1864
 t_1_894  | r       |    949735 |     4203
 t_1_895  | r       |    850259 |     3763
 t_1_897  | r       |    214493 |      950
 t_1_898  | r       |    366460 |     1622
 t_1_899  | r       |    319219 |     1413
 t_1_901  | r       |    642081 |     2842
 t_1_902  | r       |    988607 |     4375
 t_1_903  | r       |    575036 |     2545
 t_1_904  | r       |    702763 |     3110
 t_1_905  | r       |    726016 |     3213
 t_1_906  | r       |    549732 |     2433
 t_1_907  | r       |    837881 |     3708
 t_1_908  | r       |    403669 |     1787
 t_1_909  | r       |    421946 |     1868
 t_1_910  | r       |    993668 |     4397
 t_1_911  | r       |    147336 |      652
 t_1_912  | r       |    192001 |      850
 t_1_913  | r       |    815302 |     3608
 t_1_914  | r       |    688301 |     3046
 t_1_915  | r       |    868511 |     3843
 t_1_916  | r       |    478349 |     2117
 t_1_917  | r       |    565801 |     2504
 t_1_919  | r       |    188131 |      833
 t_1_920  | r       |     39165 |      174
 t_1_921  | r       |    852740 |     3774
 t_1_922  | r       |    713292 |     3157
 t_1_924  | r       |    445514 |     1972
 t_1_925  | r       |    563504 |     2494
 t_1_926  | r       |    738323 |     3267
 t_1_927  | r       |    696452 |     3082
 t_1_928  | r       |    331556 |     1468
 t_1_929  | r       |    301039 |     1333
 t_1_930  | r       |    792304 |     3506
 t_1_931  | r       |    829759 |     3672
 t_1_932  | r       |    409445 |     1812
 t_1_933  | r       |    788817 |     3491
 t_1_934  | r       |    824354 |     3648
 t_1_935  | r       |    819615 |     3627
 t_1_936  | r       |    875795 |     3876
 t_1_937  | r       |    331565 |     1468
 t_1_938  | r       |    504930 |     2235
 t_1_939  | r       |    463949 |     2053
 t_1_940  | r       |    802645 |     3552
 t_1_942  | r       |    326306 |     1444
 t_1_943  | r       |    375580 |     1662
 t_1_944  | r       |    897297 |     3971
 t_1_946  | r       |    356149 |     1576
 t_1_947  | r       |     12527 |       56
 t_1_948  | r       |    711193 |     3147
 t_1_949  | r       |    291038 |     1288
 t_1_950  | r       |    110681 |      490
 t_1_951  | r       |    772000 |     3416
 t_1_952  | r       |    265418 |     1175
 t_1_953  | r       |    163781 |      725
 t_1_954  | r       |    199031 |      881
 t_1_955  | r       |    833188 |     3687
 t_1_956  | r       |    272492 |     1206
 t_1_957  | r       |    254150 |     1125
 t_1_958  | r       |    327954 |     1452
 t_1_959  | r       |    997132 |     4413
 t_1_960  | r       |    311506 |     1379
 t_1_961  | r       |     61569 |      273
 t_1_962  | r       |    547585 |     2423
 t_1_964  | r       |    965942 |     4275
 t_1_965  | r       |    658804 |     2916
 t_1_966  | r       |    940677 |     4163
 t_1_967  | r       |    744643 |     3295
 t_1_969  | r       |    952950 |     4217
 t_1_970  | r       |    432092 |     1912
 t_1_971  | r       |    609923 |     2699
 t_1_972  | r       |    494895 |     2190
 t_1_973  | r       |    209860 |      929
 t_1_974  | r       |    269458 |     1193
 t_1_975  | r       |    137284 |      608
 t_1_976  | r       |     21201 |       94
 t_1_977  | r       |    953247 |     4218
 t_1_978  | r       |    876440 |     3879
 t_1_979  | r       |    302012 |     1337
 t_1_980  | r       |    378994 |     1677
 t_1_981  | r       |     12437 |       56
 t_1_982  | r       |    877587 |     3884
 t_1_983  | r       |    659248 |     2918
 t_1_984  | r       |    211740 |      937
 t_1_985  | r       |    324521 |     1436
 t_1_987  | r       |    894529 |     3959
 t_1_988  | r       |    361836 |     1602
 t_1_989  | r       |    773935 |     3425
 t_1_991  | r       |    626531 |     2773
 t_1_992  | r       |    185708 |      822
 t_1_993  | r       |    285956 |     1266
 t_1_994  | r       |     84421 |      374
 t_1_995  | r       |    207557 |      919
 t_1_996  | r       |    312538 |     1383
 t_1_997  | r       |    162990 |      722
 t_1_998  | r       |    325646 |     1441
 t_1_999  | r       |    151313 |      670
 t_1_1000 | r       |    690276 |     3055
 t_1_1001 | r       |    646126 |     2859
 t_1_1002 | r       |     44768 |      199
 t_1_1003 | r       |    619951 |     2744
 t_1_1004 | r       |    668789 |     2960
 t_1_1005 | r       |    977330 |     4325
 t_1_1006 | r       |    222296 |      984
 t_1_1007 | r       |    597835 |     2646
 t_1_1009 | r       |    822047 |     3638
 t_1_1010 | r       |    257348 |     1139
 t_1_1011 | r       |    283248 |     1254
 t_1_1012 | r       |    876640 |     3879
 t_1_1014 | r       |    762093 |     3373
 t_1_1015 | r       |    570708 |     2526
 t_1_1016 | r       |     56797 |      252
 t_1_1017 | r       |    542405 |     2401
 t_1_1018 | r       |    639968 |     2832
 t_1_1019 | r       |    145099 |      643
 t_1_1020 | r       |    896233 |     3966
 t_1_1021 | r       |    492295 |     2179
 t_1_1022 | r       |    665302 |     2944
 t_1_1023 | r       |     58611 |      260
 t_1_1024 | r       |     46474 |      206
 t_1_1025 | r       |    448897 |     1987
 t_1_1026 | r       |    850810 |     3765
 t_1_1027 | r       |    237930 |     1053
 t_1_1028 | r       |     70942 |      314
 t_1_1029 | r       |    807751 |     3575
 t_1_1030 | r       |    233920 |     1036
 t_1_1032 | r       |    213629 |      946
 t_1_1033 | r       |    557965 |     2469
 t_1_1034 | r       |     99936 |      443
 t_1_1036 | r       |     39049 |      173
 t_1_1037 | r       |    892900 |     3951
 t_1_1038 | r       |    221237 |      979
 t_1_1039 | r       |    127393 |      564
 t_1_1040 | r       |    235763 |     1044
 t_1_1041 | r       |    617528 |     2733
 t_1_1042 | r       |    645203 |     2855
 t_1_1043 | r       |    312751 |     1384
 t_1_1044 | r       |    176374 |      781
 t_1_1045 | r       |     24607 |      109
 t_1_1046 | r       |    608266 |     2692
 t_1_1047 | r       |    257306 |     1139
 t_1_1048 | r       |    186246 |      825
 t_1_1049 | r       |    247907 |     1097
 t_1_1050 | r       |     78452 |      348
 t_1_1051 | r       |    917484 |     4060
 t_1_1052 | r       |    357784 |     1584
 t_1_1054 | r       |    850389 |     3763
 t_1_1055 | r       |    739839 |     3274
 t_1_1056 | r       |    235451 |     1042
 t_1_1057 | r       |    936533 |     4144
 t_1_1059 | r       |    326567 |     1445
 t_1_1060 | r       |     95875 |      425
 t_1_1061 | r       |     11270 |       50
 t_1_1062 | r       |    212508 |      941
 t_1_1063 | r       |    850037 |     3762
 t_1_1064 | r       |    896430 |     3967
 t_1_1065 | r       |    507415 |     2246
 t_1_1066 | r       |    820650 |     3632
 t_1_1067 | r       |    186109 |      824
 t_1_1068 | r       |    834588 |     3693
 t_1_1069 | r       |    304885 |     1350
 t_1_1070 | r       |    932055 |     4125
 t_1_1071 | r       |    784320 |     3471
 t_1_1072 | r       |    625412 |     2768
 t_1_1073 | r       |    971503 |     4299
 t_1_1074 | r       |    596646 |     2641
 t_1_1075 | r       |    555510 |     2459
 t_1_1077 | r       |    723299 |     3201
 t_1_1078 | r       |    307135 |     1360
 t_1_1079 | r       |    767665 |     3397
 t_1_1081 | r       |    803935 |     3558
 t_1_1082 | r       |    850702 |     3765
 t_1_1083 | r       |    330975 |     1465
 t_1_1084 | r       |    943691 |     4176
 t_1_1085 | r       |    740985 |     3279
 t_1_1086 | r       |    633119 |     2802
 t_1_1087 | r       |    977819 |     4327
 t_1_1088 | r       |    773608 |     3424
 t_1_1089 | r       |    755500 |     3343
 t_1_1090 | r       |    354193 |     1568
 t_1_1091 | r       |    308111 |     1364
 t_1_1092 | r       |    555544 |     2459
 t_1_1093 | r       |    402828 |     1783
 t_1_1094 | r       |    963921 |     4266
 t_1_1095 | r       |    375828 |     1663
 t_1_1096 | r       |    864347 |     3825
 t_1_1097 | r       |    230286 |     1019
 t_1_1099 | r       |    413811 |     1832
 t_1_1100 | r       |    870068 |     3850
 t_1_1101 | r       |    760388 |     3365
 t_1_1102 | r       |     89623 |      397
 t_1_1104 | r       |    286551 |     1268
 t_1_1105 | r       |    365820 |     1619
 t_1_1106 | r       |    622044 |     2753
 t_1_1107 | r       |    549857 |     2433
 t_1_1108 | r       |    334502 |     1481
 t_1_1109 | r       |    841484 |     3724
 t_1_1110 | r       |    584827 |     2588
 t_1_1111 | r       |    588722 |     2605
 t_1_1112 | r       |    237104 |     1050
 t_1_1113 | r       |    620696 |     2747
 t_1_1114 | r       |     67829 |      301
 t_1_1115 | r       |    808903 |     3580
 t_1_1116 | r       |     13828 |       62
 t_1_1117 | r       |    449000 |     1987
 t_1_1118 | r       |    559871 |     2478
 t_1_1119 | r       |    453571 |     2007
 t_1_1120 | r       |    120772 |      535
 t_1_1122 | r       |    383156 |     1696
 t_1_1123 | r       |    872465 |     3861
 t_1_1124 | r       |    703912 |     3115
 t_1_1126 | r       |    187952 |      832
 t_1_1127 | r       |     27063 |      120
 t_1_1128 | r       |    535639 |     2371
 t_1_1129 | r       |     53558 |      237
 t_1_1130 | r       |    559513 |     2476
 t_1_1131 | r       |    597865 |     2646
 t_1_1132 | r       |    154368 |      684
 t_1_1133 | r       |    980453 |     4339
 t_1_1134 | r       |    484943 |     2146
 t_1_1135 | r       |    159468 |      706
 t_1_1136 | r       |    793839 |     3513
 t_1_1137 | r       |    142650 |      632
 t_1_1138 | r       |    529268 |     2342
 t_1_1139 | r       |    978027 |     4328
 t_1_1140 | r       |    698454 |     3091
 t_1_1141 | r       |     92030 |      408
 t_1_1142 | r       |    847397 |     3750
 t_1_1144 | r       |    366852 |     1624
 t_1_1145 | r       |    135445 |      600
 t_1_1146 | r       |     89123 |      395
 t_1_1147 | r       |    273605 |     1211
 t_1_1149 | r       |    277496 |     1228
 t_1_1150 | r       |    734689 |     3251
 t_1_1151 | r       |    305505 |     1352
 t_1_1152 | r       |    577046 |     2554
 t_1_1153 | r       |    881616 |     3901
 t_1_1154 | r       |    220404 |      976
 t_1_1155 | r       |    723298 |     3201
 t_1_1156 | r       |    987295 |     4369
 t_1_1157 | r       |    829227 |     3670
 t_1_1158 | r       |    772125 |     3417
 t_1_1159 | r       |    101411 |      449
 t_1_1160 | r       |    754954 |     3341
 t_1_1161 | r       |    871825 |     3858
 t_1_1162 | r       |    334171 |     1479
 t_1_1163 | r       |    580664 |     2570
 t_1_1164 | r       |    273212 |     1209
 t_1_1165 | r       |    921021 |     4076
 t_1_1167 | r       |    299105 |     1324
 t_1_1168 | r       |    244673 |     1083
 t_1_1169 | r       |    279294 |     1236
 t_1_1171 | r       |    357931 |     1584
 t_1_1172 | r       |    822010 |     3638
 t_1_1173 | r       |    467148 |     2068
 t_1_1174 | r       |    789009 |     3492
 t_1_1175 | r       |     58595 |      260
 t_1_1176 | r       |    589914 |     2611
 t_1_1177 | r       |    993355 |     4396
 t_1_1178 | r       |     40413 |      179
 t_1_1179 | r       |    379926 |     1682
 t_1_1180 | r       |    744037 |     3293
 t_1_1181 | r       |    387860 |     1717
 t_1_1182 | r       |    527976 |     2337
 t_1_1183 | r       |    276594 |     1224
 t_1_1184 | r       |    508243 |     2249
 t_1_1185 | r       |    917528 |     4060
 t_1_1186 | r       |    651744 |     2884
 t_1_1187 | r       |     25458 |      113
 t_1_1189 | r       |    866847 |     3836
 t_1_1190 | r       |    931621 |     4123
 t_1_1191 | r       |    637519 |     2821
 t_1_1192 | r       |    405111 |     1793
 t_1_1194 | r       |    690177 |     3054
 t_1_1195 | r       |    172638 |      764
 t_1_1196 | r       |    690487 |     3056
 t_1_1197 | r       |    629750 |     2787
 t_1_1198 | r       |    971601 |     4300
 t_1_1199 | r       |     59977 |      266
 t_1_1200 | r       |    604287 |     2674
 t_1_1201 | r       |    317465 |     1405
 t_1_1202 | r       |    622965 |     2757
 t_1_1203 | r       |    497474 |     2202
 t_1_1204 | r       |    627334 |     2776
 t_1_1205 | r       |     89856 |      398
 t_1_1206 | r       |    331820 |     1469
 t_1_1207 | r       |    446246 |     1975
 t_1_1208 | r       |    844508 |     3737
 t_1_1209 | r       |    760210 |     3364
 t_1_1210 | r       |    455727 |     2017
 t_1_1212 | r       |    519377 |     2299
 t_1_1213 | r       |    854739 |     3783
 t_1_1214 | r       |     92976 |      412
 t_1_1216 | r       |    652852 |     2889
 t_1_1217 | r       |    277062 |     1226
 t_1_1218 | r       |    344920 |     1527
 t_1_1219 | r       |    834191 |     3692
 t_1_1220 | r       |    563988 |     2496
 t_1_1221 | r       |    899823 |     3982
 t_1_1222 | r       |    940315 |     4161
 t_1_1223 | r       |    365237 |     1617
 t_1_1224 | r       |    378455 |     1675
 t_1_1225 | r       |    714278 |     3161
 t_1_1226 | r       |    408068 |     1806
 t_1_1227 | r       |    831141 |     3678
 t_1_1228 | r       |     32532 |      144
 t_1_1229 | r       |    234029 |     1036
 t_1_1230 | r       |    412321 |     1825
 t_1_1231 | r       |    159238 |      705
 t_1_1232 | r       |    861093 |     3811
 t_1_1234 | r       |    682962 |     3022
 t_1_1235 | r       |    982714 |     4349
 t_1_1236 | r       |    262177 |     1161
 t_1_1237 | r       |    804332 |     3559
 t_1_1239 | r       |    165625 |      733
 t_1_1240 | r       |    517755 |     2291
 t_1_1241 | r       |    531635 |     2353
 t_1_1242 | r       |    477155 |     2112
 t_1_1243 | r       |    581809 |     2575
 t_1_1244 | r       |    798715 |     3535
 t_1_1245 | r       |    722088 |     3196
 t_1_1246 | r       |    314446 |     1392
 t_1_1247 | r       |    266899 |     1181
 t_1_1248 | r       |    725271 |     3210
 t_1_1249 | r       |    539100 |     2386
 t_1_1250 | r       |    444286 |     1966
 t_1_1251 | r       |    834470 |     3693
 t_1_1252 | r       |    651821 |     2885
 t_1_1253 | r       |    113008 |      501
 t_1_1254 | r       |    474979 |     2102
 t_1_1255 | r       |    503431 |     2228
 t_1_1257 | r       |    178993 |      793
 t_1_1258 | r       |    143529 |      636
 t_1_1259 | r       |    717122 |     3174
 t_1_1261 | r       |    986044 |     4364
 t_1_1262 | r       |    243519 |     1078
 t_1_1263 | r       |    289045 |     1279
 t_1_1264 | r       |    369175 |     1634
 t_1_1265 | r       |    361408 |     1600
 t_1_1266 | r       |    306408 |     1356
 t_1_1267 | r       |    577601 |     2556
 t_1_1268 | r       |    164254 |      727
 t_1_1269 | r       |    422475 |     1870
 t_1_1270 | r       |    446901 |     1978
 t_1_1271 | r       |    594849 |     2633
 t_1_1272 | r       |    269572 |     1193
 t_1_1273 | r       |     80436 |      356
 t_1_1274 | r       |    618253 |     2736
 t_1_1275 | r       |    619773 |     2743
 t_1_1276 | r       |    106323 |      471
 t_1_1277 | r       |     30701 |      136
 t_1_1279 | r       |    810848 |     3588
 t_1_1280 | r       |    549687 |     2433
 t_1_1281 | r       |    470746 |     2083
 t_1_1282 | r       |    217263 |      962
 t_1_1284 | r       |    424147 |     1877
 t_1_1285 | r       |     77528 |      344
 t_1_1286 | r       |    729707 |     3229
 t_1_1287 | r       |    166869 |      739
 t_1_1288 | r       |    397976 |     1761
 t_1_1289 | r       |    247027 |     1094
 t_1_1290 | r       |    466515 |     2065
 t_1_1291 | r       |    493693 |     2185
 t_1_1292 | r       |    883898 |     3912
 t_1_1293 | r       |    576449 |     2551
 t_1_1294 | r       |    390769 |     1730
 t_1_1295 | r       |    115167 |      510
 t_1_1296 | r       |    401932 |     1779
 t_1_1297 | r       |    713101 |     3156
 t_1_1298 | r       |    154468 |      684
 t_1_1299 | r       |    730344 |     3232
 t_1_1300 | r       |    936538 |     4144
 t_1_1302 | r       |    863419 |     3821
 t_1_1303 | r       |    897061 |     3970
 t_1_1304 | r       |    973965 |     4310
 t_1_1306 | r       |     21885 |       97
 t_1_1307 | r       |     17081 |       76
 t_1_1308 | r       |    603264 |     2670
 t_1_1309 | r       |    592318 |     2621
 t_1_1310 | r       |    222040 |      983
 t_1_1311 | r       |    717009 |     3173
 t_1_1312 | r       |    781922 |     3460
 t_1_1313 | r       |    259192 |     1147
 t_1_1314 | r       |    277474 |     1228
 t_1_1315 | r       |    127131 |      563
 t_1_1316 | r       |    866608 |     3835
 t_1_1317 | r       |    548530 |     2428
 t_1_1318 | r       |    115880 |      513
 t_1_1319 | r       |    657541 |     2910
 t_1_1320 | r       |    122487 |      542
 t_1_1321 | r       |    196463 |      870
 t_1_1322 | r       |    450935 |     1996
 t_1_1324 | r       |    266720 |     1181
 t_1_1325 | r       |    213971 |      947
 t_1_1326 | r       |    495757 |     2194
 t_1_1327 | r       |    762674 |     3375
 t_1_1329 | r       |    733320 |     3245
 t_1_1330 | r       |    265493 |     1175
 t_1_1331 | r       |    177406 |      785
 t_1_1332 | r       |    872521 |     3861
 t_1_1333 | r       |    518602 |     2295
 t_1_1334 | r       |    374847 |     1659
 t_1_1335 | r       |     45540 |      202
 t_1_1336 | r       |    397673 |     1760
 t_1_1337 | r       |    637783 |     2823
 t_1_1338 | r       |    940946 |     4164
 t_1_1339 | r       |    997537 |     4414
 t_1_1340 | r       |    326536 |     1445
 t_1_1341 | r       |    512310 |     2267
 t_1_1342 | r       |     55533 |      246
 t_1_1343 | r       |    899535 |     3981
 t_1_1344 | r       |    395636 |     1751
 t_1_1345 | r       |    132336 |      586
 t_1_1347 | r       |    570749 |     2526
 t_1_1348 | r       |    347853 |     1540
 t_1_1349 | r       |     42006 |      186
 t_1_1351 | r       |    910465 |     4029
 t_1_1352 | r       |    488180 |     2161
 t_1_1353 | r       |    799509 |     3538
 t_1_1354 | r       |    800087 |     3541
 t_1_1355 | r       |    291879 |     1292
 t_1_1356 | r       |    871803 |     3858
 t_1_1357 | r       |     10095 |       45
 t_1_1358 | r       |    344074 |     1523
 t_1_1359 | r       |     36032 |      160
 t_1_1360 | r       |     89909 |      398
 t_1_1361 | r       |    417614 |     1848
 t_1_1362 | r       |    407741 |     1805
 t_1_1363 | r       |    148057 |      656
 t_1_1364 | r       |    143119 |      634
 t_1_1365 | r       |    506694 |     2243
 t_1_1366 | r       |    391149 |     1731
 t_1_1367 | r       |    286699 |     1269
 t_1_1369 | r       |    281155 |     1245
 t_1_1370 | r       |     25887 |      115
 t_1_1371 | r       |    362814 |     1606
 t_1_1372 | r       |    899450 |     3980
 t_1_1374 | r       |    821888 |     3637
 t_1_1375 | r       |    866496 |     3835
 t_1_1376 | r       |    439965 |     1947
 t_1_1377 | r       |    622373 |     2754
 t_1_1378 | r       |    595384 |     2635
 t_1_1379 | r       |     91995 |      408
 t_1_1380 | r       |     47937 |      213
 t_1_1381 | r       |    605798 |     2681
 t_1_1382 | r       |     67060 |      297
 t_1_1383 | r       |    707637 |     3132
 t_1_1384 | r       |    656889 |     2907
 t_1_1385 | r       |     75749 |      336
 t_1_1386 | r       |     90573 |      401
 t_1_1387 | r       |    856215 |     3789
 t_1_1388 | r       |    492915 |     2182
 t_1_1389 | r       |     85004 |      377
 t_1_1390 | r       |    260995 |     1155
 t_1_1392 | r       |    805114 |     3563
 t_1_1393 | r       |    253991 |     1124
 t_1_1394 | r       |    711259 |     3148
 t_1_1396 | r       |    268662 |     1189
 t_1_1397 | r       |     94084 |      417
 t_1_1398 | r       |    917360 |     4060
 t_1_1399 | r       |    840699 |     3720
 t_1_1400 | r       |    735265 |     3254
 t_1_1401 | r       |    890445 |     3941
 t_1_1402 | r       |    657979 |     2912
 t_1_1403 | r       |    144313 |      639
 t_1_1404 | r       |    459127 |     2032
 t_1_1405 | r       |    347376 |     1538
 t_1_1406 | r       |    517591 |     2291
 t_1_1407 | r       |    963829 |     4265
 t_1_1408 | r       |    167612 |      742
 t_1_1409 | r       |    232398 |     1029
 t_1_1410 | r       |    306604 |     1357
 t_1_1411 | r       |    837962 |     3708
 t_1_1412 | r       |    718345 |     3179
 t_1_1414 | r       |    974470 |     4312
 t_1_1415 | r       |    107167 |      475
 t_1_1416 | r       |    819099 |     3625
 t_1_1417 | r       |    657677 |     2911
 t_1_1419 | r       |    474095 |     2098
 t_1_1420 | r       |    279412 |     1237
 t_1_1421 | r       |    351061 |     1554
 t_1_1422 | r       |    434370 |     1922
 t_1_1423 | r       |    180596 |      800
 t_1_1424 | r       |    792647 |     3508
 t_1_1425 | r       |    766171 |     3391
 t_1_1426 | r       |    949473 |     4202
 t_1_1427 | r       |    535007 |     2368
 t_1_1428 | r       |    478970 |     2120
 t_1_1429 | r       |    236726 |     1048
 t_1_1430 | r       |    323583 |     1432
 t_1_1431 | r       |    211762 |      937
 t_1_1432 | r       |    431413 |     1909
 t_1_1433 | r       |    738649 |     3269
 t_1_1434 | r       |    861295 |     3812
 t_1_1435 | r       |    550188 |     2435
 t_1_1437 | r       |    817731 |     3619
 t_1_1438 | r       |    147808 |      655
 t_1_1439 | r       |    315103 |     1395
 t_1_1441 | r       |     84644 |      375
 t_1_1442 | r       |    283258 |     1254
 t_1_1443 | r       |    250739 |     1110
 t_1_1444 | r       |    523507 |     2317
 t_1_1445 | r       |    562647 |     2490
 t_1_1446 | r       |    263204 |     1165
 t_1_1447 | r       |    210475 |      932
 t_1_1448 | r       |    405093 |     1793
 t_1_1449 | r       |    785117 |     3474
 t_1_1450 | r       |     55474 |      246
 t_1_1451 | r       |    108180 |      479
 t_1_1452 | r       |    509849 |     2256
 t_1_1453 | r       |    515031 |     2279
 t_1_1454 | r       |    181218 |      802
 t_1_1455 | r       |    427530 |     1892
 t_1_1456 | r       |    640942 |     2837
 t_1_1457 | r       |    384425 |     1701
 t_1_1459 | r       |     81680 |      362
 t_1_1460 | r       |    533874 |     2363
 t_1_1461 | r       |    870363 |     3852
 t_1_1462 | r       |    711452 |     3149
 t_1_1464 | r       |    227436 |     1007
 t_1_1465 | r       |    165530 |      733
 t_1_1466 | r       |     37342 |      166
 t_1_1467 | r       |     58705 |      260
 t_1_1468 | r       |     69353 |      307
 t_1_1469 | r       |    459297 |     2033
 t_1_1470 | r       |    355476 |     1573
 t_1_1471 | r       |    161726 |      716
 t_1_1472 | r       |    849141 |     3758
 t_1_1473 | r       |    914431 |     4047
 t_1_1474 | r       |    687126 |     3041
 t_1_1475 | r       |    939430 |     4157
 t_1_1476 | r       |    668836 |     2960
 t_1_1477 | r       |     97069 |      430
 t_1_1478 | r       |    150573 |      667
 t_1_1479 | r       |    844004 |     3735
 t_1_1480 | r       |    529501 |     2343
 t_1_1482 | r       |    229120 |     1014
 t_1_1483 | r       |    958831 |     4243
 t_1_1484 | r       |    410117 |     1815
 t_1_1486 | r       |    945388 |     4184
 t_1_1487 | r       |    558359 |     2471
 t_1_1488 | r       |    280484 |     1242
 t_1_1489 | r       |    117564 |      521
 t_1_1490 | r       |    193202 |      855
 t_1_1491 | r       |    700462 |     3100
 t_1_1492 | r       |    335235 |     1484
 t_1_1493 | r       |    367563 |     1627
 t_1_1494 | r       |    630737 |     2791
 t_1_1495 | r       |     21553 |       96
 t_1_1496 | r       |    413208 |     1829
 t_1_1497 | r       |     33118 |      147
 t_1_1498 | r       |    115893 |      513
 t_1_1499 | r       |    660475 |     2923
 t_1_1500 | r       |    657675 |     2911
 t_1_1501 | r       |    827544 |     3662
 t_1_1502 | r       |    426453 |     1887
 t_1_1504 | r       |    836752 |     3703
 t_1_1505 | r       |     28597 |      127
 t_1_1506 | r       |    576253 |     2550
 t_1_1507 | r       |    324061 |     1434
 t_1_1509 | r       |    311980 |     1381
 t_1_1510 | r       |    576922 |     2553
 t_1_1511 | r       |    826369 |     3657
 t_1_1512 | r       |     54293 |      241
 t_1_1513 | r       |    470176 |     2081
 t_1_1514 | r       |    669988 |     2965
 t_1_1515 | r       |    686014 |     3036
 t_1_1516 | r       |    786427 |     3480
 t_1_1517 | r       |    294482 |     1304
 t_1_1518 | r       |    376976 |     1669
 t_1_1519 | r       |    932388 |     4126
 t_1_1520 | r       |    820335 |     3630
 t_1_1521 | r       |    975233 |     4316
 t_1_1522 | r       |    154006 |      682
 t_1_1523 | r       |    480477 |     2127
 t_1_1524 | r       |    407689 |     1804
 t_1_1525 | r       |    570984 |     2527
 t_1_1527 | r       |     63466 |      281
 t_1_1528 | r       |    163784 |      725
 t_1_1529 | r       |    390514 |     1728
 t_1_1531 | r       |    475976 |     2107
 t_1_1532 | r       |    790901 |     3500
 t_1_1533 | r       |    391434 |     1733
 t_1_1534 | r       |    814937 |     3606
 t_1_1535 | r       |    226786 |     1004
 t_1_1536 | r       |    268549 |     1189
 t_1_1537 | r       |    314312 |     1391
 t_1_1538 | r       |    529433 |     2343
 t_1_1539 | r       |    278291 |     1232
 t_1_1540 | r       |     40304 |      179
 t_1_1541 | r       |    820309 |     3630
 t_1_1542 | r       |    207481 |      919
 t_1_1543 | r       |    788998 |     3492
 t_1_1544 | r       |    899821 |     3982
 t_1_1545 | r       |    432501 |     1914
 t_1_1546 | r       |    587783 |     2601
 t_1_1547 | r       |    338383 |     1498
 t_1_1549 | r       |    866475 |     3834
 t_1_1550 | r       |    441066 |     1952
 t_1_1551 | r       |    472290 |     2090
 t_1_1552 | r       |    570633 |     2525
 t_1_1554 | r       |    425427 |     1883
 t_1_1555 | r       |    549933 |     2434
 t_1_1556 | r       |    539520 |     2388
 t_1_1557 | r       |    748780 |     3314
 t_1_1558 | r       |    885775 |     3920
